"","Zomato.address","Zomato.name","Zomato.online_order","Zomato.book_table","Zomato.rate","Zomato.votes","Zomato.location","Zomato.approx_cost.for.two.people.","Zomato.RestoCOde"
"1726","88, 3rd Floor, KBR Mall, Above More Mega Store, Outer Ring Road, Marathahalli, Bangalore","Hyderabad Chefs","Yes","No",4,717,"Marathahalli","800","88, 3rd Floor, KBR Mall, Above More Mega Store, Outer Ring Road, Marathahalli, BangaloreHyderabad Chefs"
"1727","Behind MK Retail, Sarjapur Road, Bangalore","Byg Brewski Brewing Company","Yes","Yes",4.9,16345,"Sarjapur Road","1,600","Behind MK Retail, Sarjapur Road, BangaloreByg Brewski Brewing Company"
"1728","1214, 17th Cross Road, Parangi Palaya, Sector 2, HSR Layout, Bangalore","Nutty Affair","Yes","No",3.7,25,"HSR","350","1214, 17th Cross Road, Parangi Palaya, Sector 2, HSR Layout, BangaloreNutty Affair"
"1729","65/1A, Sarjapur Main Road, Kaikondrahalli, Sarjapur Road, Bangalore","Waffle Talesz","Yes","No",3.6,18,"Sarjapur Road","200","65/1A, Sarjapur Main Road, Kaikondrahalli, Sarjapur Road, BangaloreWaffle Talesz"
"1730","71/1A, 1st Floor, Kaikondrahalli, Sarjapur Main Road, Bengaluru, Karnataka","Suryawanshi","Yes","Yes",4.5,125,"Sarjapur Road","700","71/1A, 1st Floor, Kaikondrahalli, Sarjapur Main Road, Bengaluru, KarnatakaSuryawanshi"
"1731","13, The Bay, RMZ EcoWorld, Bellandur, Bangalore","Chili's American Grill & Bar","Yes","Yes",4.5,1365,"Bellandur","1,800","13, The Bay, RMZ EcoWorld, Bellandur, BangaloreChili's American Grill & Bar"
"1732","29/2, Kariyammana Agrahara, Near Sakra World Hospital, Bellandur, Bangalore, Bengaluru","Hyderabadi Zaiqa","Yes","No",3.1,41,"Bellandur","700","29/2, Kariyammana Agrahara, Near Sakra World Hospital, Bellandur, Bangalore, BengaluruHyderabadi Zaiqa"
"1733","A1/65, 2nd Floor, Above Family Pharma, Kaikondrahalli, Sarjapur Road, Bangalore","Indiana Burgers","Yes","No",3.5,28,"Sarjapur Road","300","A1/65, 2nd Floor, Above Family Pharma, Kaikondrahalli, Sarjapur Road, BangaloreIndiana Burgers"
"1734","6/2, Near Wipro Headquaters, Kaikondrahalli, Sarjapur Road, Bangalore","Abhiruchi Restaurant","Yes","No",3.4,5,"Sarjapur Road","400","6/2, Near Wipro Headquaters, Kaikondrahalli, Sarjapur Road, BangaloreAbhiruchi Restaurant"
"1735","Mantri Commercio, Kariyammana Agrahara, Bellandur, Bangalore","Pasta Twist Plus","Yes","No",2.6,20,"Bellandur","400","Mantri Commercio, Kariyammana Agrahara, Bellandur, BangalorePasta Twist Plus"
"1736","Basement 2064, Siri Iris Building, 24th Main, N.R.T.A Enclave, HSR, Bangalore","Delite Chaat House","Yes","No",3.5,178,"HSR","300","Basement 2064, Siri Iris Building, 24th Main, N.R.T.A Enclave, HSR, BangaloreDelite Chaat House"
"1737","97/1, Green Glyen Layout, Behind Salarpuria Soft Zone, Outer Ring Rd, Bellandur, Bangalore","Hyderabadi Biriyani","Yes","No",3.4,33,"Bellandur","800","97/1, Green Glyen Layout, Behind Salarpuria Soft Zone, Outer Ring Rd, Bellandur, BangaloreHyderabadi Biriyani"
"1738","809/A, 27th Main, 100 Feet Road, 1st Sector, HSR, Bangalore","Sri Krishna Sagar","Yes","No",3.5,234,"HSR","400","809/A, 27th Main, 100 Feet Road, 1st Sector, HSR, BangaloreSri Krishna Sagar"
"1739","6, 2nd Floor, Opposite BRS Global School, Kasavanahalli Main Road, Sarjapur Road, Bangalore","Momo Rice Noodles","Yes","No",3.4,68,"Sarjapur Road","600","6, 2nd Floor, Opposite BRS Global School, Kasavanahalli Main Road, Sarjapur Road, BangaloreMomo Rice Noodles"
"1740","779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore","Bombay Sandwich Company","Yes","No",3.5,32,"Sarjapur Road","400","779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, BangaloreBombay Sandwich Company"
"1741","Shop 5, New Building, 15 A, First Floor, Kasavanahalli Main Road, Sarjapur Road, Bangalore","The Good Bowl","Yes","No",3.6,10,"Sarjapur Road","500","Shop 5, New Building, 15 A, First Floor, Kasavanahalli Main Road, Sarjapur Road, BangaloreThe Good Bowl"
"1742","Building 2686, 31 Main, 13 Cross, Sector 1, Behind CPWD Quarters, HSR Layout, HSR, Bangalore","Veg Rasoi","Yes","No",3.9,92,"HSR","600","Building 2686, 31 Main, 13 Cross, Sector 1, Behind CPWD Quarters, HSR Layout, HSR, BangaloreVeg Rasoi"
"1743","603, Second Floor, KPC Layout, Amrutha College Road, Kasavanahalli, Sarjapur Road, Bangalore","Curry Flavours","Yes","No",3.7,59,"Sarjapur Road","200","603, Second Floor, KPC Layout, Amrutha College Road, Kasavanahalli, Sarjapur Road, BangaloreCurry Flavours"
"1744","191, Ground Floor, 27th Main Road, Near CPWD Quarters, Beside Lawrance & Mayo, Sector 2, HSR, Bangalore","Petoo","Yes","No",4.1,103,"HSR","800","191, Ground Floor, 27th Main Road, Near CPWD Quarters, Beside Lawrance & Mayo, Sector 2, HSR, BangalorePetoo"
"1745","1st Floor, NTR Royal Plaza, Outer Ring Road, Marathahalli, Bangalore","Dhaba Estd 1986 Delhi","Yes","Yes",4.4,1209,"Marathahalli","1,100","1st Floor, NTR Royal Plaza, Outer Ring Road, Marathahalli, BangaloreDhaba Estd 1986 Delhi"
"1746","20/5, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore","Inhouse Burger","Yes","No",4,167,"Marathahalli","400","20/5, Outer Ring Road, Kadubeesanahalli, Marathahalli, BangaloreInhouse Burger"
"1747","2nd Floor, Sai Durga Enclave, 833/1, Outer Ring Road, Bellandur, Bangalore","Manchow","Yes","Yes",3.8,157,"Bellandur","600","2nd Floor, Sai Durga Enclave, 833/1, Outer Ring Road, Bellandur, BangaloreManchow"
"1748","17/1, Chandra Mansion, Opposite Spring Field Apartments, Sarjapur Road, Bangalore","Andhra Vilaas","Yes","No",3.7,52,"Sarjapur Road","350","17/1, Chandra Mansion, Opposite Spring Field Apartments, Sarjapur Road, BangaloreAndhra Vilaas"
"1749","2633, 27th Main, 13th Cross, 1st Sector, Liss Arcade, HSR, Bangalore","Bangaliana","Yes","No",3.7,309,"HSR","600","2633, 27th Main, 13th Cross, 1st Sector, Liss Arcade, HSR, BangaloreBangaliana"
"1750","15, Amrita Engineering College Road, Kasavanahalli, Sarjapur Road, Bangalore","La Casa Brewery And Kitchen","Yes","Yes",4.4,1381,"Sarjapur Road","1,500","15, Amrita Engineering College Road, Kasavanahalli, Sarjapur Road, BangaloreLa Casa Brewery And Kitchen"
"1751","1548, 19th Main, Outer Ring Road, Opposite BMTC Bus Depot, HSR, Bangalore","Biriyani Zone","Yes","No",3.9,667,"HSR","800","1548, 19th Main, Outer Ring Road, Opposite BMTC Bus Depot, HSR, BangaloreBiriyani Zone"
"1752","2733, 16th Cross, 27th Main Road, Oppsite, NIFT College, 1st Sector, HSR Layout, Bangalore","Soup'ermanz Kitchen","Yes","No",4.1,433,"HSR","750","2733, 16th Cross, 27th Main Road, Oppsite, NIFT College, 1st Sector, HSR Layout, BangaloreSoup'ermanz Kitchen"
"1753","2610, 27th Main, Near NIFT, HSR Layout, HSR, Bangalore","North Indian Kitchen","No","No",3.2,13,"HSR","","2610, 27th Main, Near NIFT, HSR Layout, HSR, BangaloreNorth Indian Kitchen"
"1754","1, 328, 27th Main, 21st Cross, Sector 2, HSR, Bangalore","MAP- My Appetite Place","Yes","No",3.8,29,"HSR","600","1, 328, 27th Main, 21st Cross, Sector 2, HSR, BangaloreMAP- My Appetite Place"
"1755","779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore","Healthie","Yes","No",3.9,70,"Sarjapur Road","600","779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, BangaloreHealthie"
"1756","49, Agara Circle, Near Hanuman Statue, HSR Layout, HSR, Bangalore","Sri Dalma","Yes","No",3.8,77,"HSR","350","49, Agara Circle, Near Hanuman Statue, HSR Layout, HSR, BangaloreSri Dalma"
"1757","65/2, Next To Peters School, Beside I-Gate Optics, Sarjapura Main Road, Bangalore","Chai World","Yes","No",3.5,18,"Sarjapur Road","300","65/2, Next To Peters School, Beside I-Gate Optics, Sarjapura Main Road, BangaloreChai World"
"1758","Shop No 1, 15th Cross, DR BR Ambedkar Circle, Devarabishanahalli, Bellandur, Bangalore","Baker's Home","Yes","No",4,175,"Bellandur","300","Shop No 1, 15th Cross, DR BR Ambedkar Circle, Devarabishanahalli, Bellandur, BangaloreBaker's Home"
"1759","18/1, Opposite Mahagapathi Temple, Near Ramdav Medicals, Bellandur, Bangalore","Paratha Treat","Yes","No",3.6,51,"Bellandur","200","18/1, Opposite Mahagapathi Temple, Near Ramdav Medicals, Bellandur, BangaloreParatha Treat"
"1760","18/2A, Sarjapur Road, Bangalore","New Cool Joint","Yes","No",3.5,23,"Sarjapur Road","150","18/2A, Sarjapur Road, BangaloreNew Cool Joint"
"1761","482/57, Hema Reddy Complex, Bellandur Main Road, Diagonally Opp to Village Super Market, Bangalore","Al Khansah","Yes","No",3.9,370,"Bellandur","550","482/57, Hema Reddy Complex, Bellandur Main Road, Diagonally Opp to Village Super Market, BangaloreAl Khansah"
"1762","Kadubeesanahalli, Marathahalli Outer Ring Road, Opposite JP Morgan, Varthur Hobli, Marathahalli, Bangalore","Chullah Bhatti","Yes","Yes",4,557,"Marathahalli","900","Kadubeesanahalli, Marathahalli Outer Ring Road, Opposite JP Morgan, Varthur Hobli, Marathahalli, BangaloreChullah Bhatti"
"1763","#2733, 16th Cross, 27th Main, Opppsite NIFT College, Sector 1, HSR, Bangalore","Matka","Yes","Yes",3.6,25,"HSR","500","#2733, 16th Cross, 27th Main, Opppsite NIFT College, Sector 1, HSR, BangaloreMatka"
"1764","Yemalur, Marathahalli, Bangalore","Feel@Home","Yes","No",3.6,42,"Marathahalli","300","Yemalur, Marathahalli, BangaloreFeel@Home"
"1765","10, HDFC Bank Street, Bellandur Gate, Sarjapur Road, Bangalore","Mangala Hotel","Yes","No",3.8,27,"Sarjapur Road","300","10, HDFC Bank Street, Bellandur Gate, Sarjapur Road, BangaloreMangala Hotel"
"1766","Next to Grigliato, Sector 1 , HSR Layout, HSR, Bangalore","Kabab Magic","Yes","No",3.1,281,"HSR","400","Next to Grigliato, Sector 1 , HSR Layout, HSR, BangaloreKabab Magic"
"1767","Ecoworld RMZ 8A Building, Ground Floor, Food Court, Outer Ring Road, Bellandur","Keventers","Yes","No",3.6,18,"Bellandur","400","Ecoworld RMZ 8A Building, Ground Floor, Food Court, Outer Ring Road, BellandurKeventers"
"1768","74/2, Outer Ring Road, Bellandur Junction, Bellandur, Bangalore","The Kebab House","Yes","No",4.3,49,"Bellandur","250","74/2, Outer Ring Road, Bellandur Junction, Bellandur, BangaloreThe Kebab House"
"1769","17/1, RJR Building, Bellandur Gate, Ambalipura, Sarjapur Road, Bangalore","Daniyal's","Yes","No",3.6,6,"Sarjapur Road","800","17/1, RJR Building, Bellandur Gate, Ambalipura, Sarjapur Road, BangaloreDaniyal's"
"1770","Opposite BBMP Office, Besides Choice Bakery, Yamalur, Bellandur, Bangalore","Poha On Wheels","Yes","No",4.1,65,"Bellandur","100","Opposite BBMP Office, Besides Choice Bakery, Yamalur, Bellandur, BangalorePoha On Wheels"
"1771","20\5, Panathur Junction, Outer Ring Road, Kadubeessanahalli, Marathahalli, Bangalore","Float","Yes","Yes",4.4,3061,"Marathahalli","1,500","20\5, Panathur Junction, Outer Ring Road, Kadubeessanahalli, Marathahalli, BangaloreFloat"
"1772","78/5, Sri Gowrikshna Arcade, Behind Central Mall, M.H. Colony, Bellandur, Bangalore","Domino's Pizza","Yes","No",3.6,260,"Bellandur","800","78/5, Sri Gowrikshna Arcade, Behind Central Mall, M.H. Colony, Bellandur, BangaloreDomino's Pizza"
"1773","2606, Ground Floor, The Ambience Building, 16th Cross, 27th Main, Sector 1, HSR, Bangalore","Makers of Milkshakes","Yes","No",3.9,39,"HSR","300","2606, Ground Floor, The Ambience Building, 16th Cross, 27th Main, Sector 1, HSR, BangaloreMakers of Milkshakes"
"1774","Ground Floor, 42 Green Glen Layout, Sarjapur - Marathalli Ring Road, Bellandur, Bangalore","Shake It Off","Yes","No",4,60,"Bellandur","600","Ground Floor, 42 Green Glen Layout, Sarjapur - Marathalli Ring Road, Bellandur, BangaloreShake It Off"
"1775","Opposite Bellandur Police Station, Sarjapur Road, Bangalore","Udupi Savi Thindi","Yes","No",3.6,14,"Sarjapur Road","300","Opposite Bellandur Police Station, Sarjapur Road, BangaloreUdupi Savi Thindi"
"1776","56, CSB Layout, Opposite Oceanus Monarda, Centrel Jail Road, Kasvanahalli, Sarjapur Road, Bangalore","Karavali Kitchen","Yes","No",3.1,85,"Sarjapur Road","400","56, CSB Layout, Opposite Oceanus Monarda, Centrel Jail Road, Kasvanahalli, Sarjapur Road, BangaloreKaravali Kitchen"
"1777","779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore","InnerChef","Yes","No",3.9,231,"Sarjapur Road","500","779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, BangaloreInnerChef"
"1778","505/3, Gurumurthy Reddy Building, Bellandur Main Road, Near Bangalore Bazaar, Bellandur, Bangalore","RP Sweets","Yes","No",3.4,7,"Bellandur","300","505/3, Gurumurthy Reddy Building, Bellandur Main Road, Near Bangalore Bazaar, Bellandur, BangaloreRP Sweets"
"1779","2802, 27th Main Road, Sector 1, HSR, Bangalore","Broadway - The Gourmet Theatre","Yes","Yes",4.2,1142,"HSR","1,800","2802, 27th Main Road, Sector 1, HSR, BangaloreBroadway - The Gourmet Theatre"
"1780","65/1C, Kaikondrahalli, Sarjapur Road, Bangalore","Appetite Workstation","Yes","No",3.6,16,"Sarjapur Road","500","65/1C, Kaikondrahalli, Sarjapur Road, BangaloreAppetite Workstation"
"1781","1562, Sector 1, HSR, Bangalore","Grigliato","Yes","No",3.9,715,"HSR","1,000","1562, Sector 1, HSR, BangaloreGrigliato"
"1782","712, 6th Cross, 5th Main, Off 80 Feet Road, Indiranagar, Bangalore","Crunch Pizzas - Express Delivery","Yes","No",3,237,"Indiranagar","500","712, 6th Cross, 5th Main, Off 80 Feet Road, Indiranagar, BangaloreCrunch Pizzas - Express Delivery"
"1783","Outer Ring Road, Opposite to JP Morgan, Kodbisanhalli, Marathahalli, Bangalore","Parrattha Ssinghh","Yes","No",4.2,45,"Marathahalli","250","Outer Ring Road, Opposite to JP Morgan, Kodbisanhalli, Marathahalli, BangaloreParrattha Ssinghh"
"1784","56, Near Passport Office, Outer Ring Road, Bellandur, Bangalore","Atithi Aramane Veg","Yes","No",3.9,48,"Bellandur","300","56, Near Passport Office, Outer Ring Road, Bellandur, BangaloreAtithi Aramane Veg"
"1785","61, Green Glen Layout, Bellandur, Bangalore","Yummy Tummy","Yes","No",3,111,"Bellandur","400","61, Green Glen Layout, Bellandur, BangaloreYummy Tummy"
"1786","2738, 27th Main, Sector 1, HSR, Bangalore","Beijing Bites","Yes","No",3.9,396,"HSR","850","2738, 27th Main, Sector 1, HSR, BangaloreBeijing Bites"
"1787","15/38, Opposite Ocian Manoda Apartment, Sarjapur Road, Kasavanhalli, Bangalore","AKSHAYA BIRYANI","Yes","No",3.6,20,"Sarjapur Road","300","15/38, Opposite Ocian Manoda Apartment, Sarjapur Road, Kasavanhalli, BangaloreAKSHAYA BIRYANI"
"1788","86, Krystal commercial complex, Kasavanahalli, Off Sarjapur Road, Sarjapur Road, Bangalore","Lungees Foods","Yes","No",3.7,160,"Sarjapur Road","500","86, Krystal commercial complex, Kasavanahalli, Off Sarjapur Road, Sarjapur Road, BangaloreLungees Foods"
"1789","6/2, Near Wipro Headquaters, Kaikondrahalli, Sarjapur Road, Bangalore","Reddy's Paradise","Yes","No",3.4,9,"Sarjapur Road","400","6/2, Near Wipro Headquaters, Kaikondrahalli, Sarjapur Road, BangaloreReddy's Paradise"
"1790","4, 60/1, Doddakannelli, Opposite Wipro Corporate Office, Sarjapur Road, Bangalore","Tarbouche","Yes","No",3.5,18,"Sarjapur Road","300","4, 60/1, Doddakannelli, Opposite Wipro Corporate Office, Sarjapur Road, BangaloreTarbouche"
"1791","International Bay, Campus 8/A, RMZ Ecoworld, Bellandur, Bangalore","Bombay Brasserie","Yes","No",4.3,555,"Bellandur","1,800","International Bay, Campus 8/A, RMZ Ecoworld, Bellandur, BangaloreBombay Brasserie"
"1792","1st Floor, GRS Towers, Sarjapur Road, Bangalore","Ajwa Thalassery Biryani","Yes","Yes",3.9,42,"Sarjapur Road","500","1st Floor, GRS Towers, Sarjapur Road, BangaloreAjwa Thalassery Biryani"
"1793","779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore","YumYumDilli","Yes","No",3.5,16,"Sarjapur Road","500","779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, BangaloreYumYumDilli"
"1794","121/1, Golden Country, Behind Andhra Bank, Near Wipro, Doddakanehalli, Sarjapur Road, Bangalore","Folklore Restaurant","Yes","No",3.4,262,"Sarjapur Road","450","121/1, Golden Country, Behind Andhra Bank, Near Wipro, Doddakanehalli, Sarjapur Road, BangaloreFolklore Restaurant"
"1795","646, 12th Cross, 27th Main, Sector 1, HSR, Bangalore","Napoli Italian Bistro","Yes","Yes",4.1,1056,"HSR","1,200","646, 12th Cross, 27th Main, Sector 1, HSR, BangaloreNapoli Italian Bistro"
"1796","647, Ground Floor, 27th Main Road, Sector 1, HSR, Bangalore","Uptown Sliders & Shakes","Yes","No",3.9,112,"HSR","600","647, Ground Floor, 27th Main Road, Sector 1, HSR, BangaloreUptown Sliders & Shakes"
"1797","191, First Floor, 27th Main, Sector 2, HSR, Bangalore","The Grub Central","Yes","Yes",4,797,"HSR","700","191, First Floor, 27th Main, Sector 2, HSR, BangaloreThe Grub Central"
"1798","1630/1504/5, Kasavanahalli Main Road, Behind Bata Showroom, Kasavanahalli, Sarjapur Road, Bangalore","Cold Smith Ice Creams","Yes","No",3.9,41,"Sarjapur Road","450","1630/1504/5, Kasavanahalli Main Road, Behind Bata Showroom, Kasavanahalli, Sarjapur Road, BangaloreCold Smith Ice Creams"
"1799","779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore","Thalis Of India","Yes","No",3.3,7,"Sarjapur Road","500","779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, BangaloreThalis Of India"
"1800","5/1 SLN Building, Doddakanelli-Kaadubeesanahalli Road, Near Prestige Trinity Center, Bellandur, Bangalore","Singh Saheb Di Rasoi","Yes","No",3.2,10,"Bellandur","800","5/1 SLN Building, Doddakanelli-Kaadubeesanahalli Road, Near Prestige Trinity Center, Bellandur, BangaloreSingh Saheb Di Rasoi"
"1801","Srinivasa Nilayam, Site 3, Vidya Vikas School Road, Panathur New Extension, Kaverappa Layout, Marathahalli, Bangalore","Slurpy Shakes","Yes","No",3.3,6,"Marathahalli","300","Srinivasa Nilayam, Site 3, Vidya Vikas School Road, Panathur New Extension, Kaverappa Layout, Marathahalli, BangaloreSlurpy Shakes"
"1802","65/1A, Sarjapur Main Road, Kaikondrahalli, Sarjapur Road, Bangalore","The Milkshake Theory","Yes","No",3.7,29,"Sarjapur Road","400","65/1A, Sarjapur Main Road, Kaikondrahalli, Sarjapur Road, BangaloreThe Milkshake Theory"
"1803","Salarpuria Sattva Aura, Kiosk 6, Foodworks Food Court, Block 11, Marathahalli - Sarjapur Outer Ring Road, Kaverappa Layout, Kadubeesanahalli, Marathahalli, Bangalore","Cake Box","Yes","No",2.9,24,"Marathahalli","400","Salarpuria Sattva Aura, Kiosk 6, Foodworks Food Court, Block 11, Marathahalli - Sarjapur Outer Ring Road, Kaverappa Layout, Kadubeesanahalli, Marathahalli, BangaloreCake Box"
"1804","2317, 27th Main, Sector 1, Opposite NIFT College, HSR Layout, HSR, Bangalore","Wangs Kitchen","Yes","No",2.4,438,"HSR","1,000","2317, 27th Main, Sector 1, Opposite NIFT College, HSR Layout, HSR, BangaloreWangs Kitchen"
"1805","HN Halli Lake Road, Radha Reddy Layout, Doddakannelli, Sarjapur Road, Bangalore","Quick Bites Food Junction","Yes","No",3.8,30,"Sarjapur Road","300","HN Halli Lake Road, Radha Reddy Layout, Doddakannelli, Sarjapur Road, BangaloreQuick Bites Food Junction"
"1806","23/4, Kariyammana Agrahara Road Kadubisinahalli, Prestige Tech Park Back Gate, Marathahalli, Bangalore","Kidilum","Yes","No",3.6,32,"Marathahalli","450","23/4, Kariyammana Agrahara Road Kadubisinahalli, Prestige Tech Park Back Gate, Marathahalli, BangaloreKidilum"
"1807","2628, 27th Main Road, 1st Sector, HSR Layout, Bangalore, HSR, Bangalore","Juice Junction Food Court","Yes","No",3.8,210,"HSR","200","2628, 27th Main Road, 1st Sector, HSR Layout, Bangalore, HSR, BangaloreJuice Junction Food Court"
"1808","779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore","World In A Bowl","Yes","No",3.5,17,"Sarjapur Road","600","779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, BangaloreWorld In A Bowl"
"1809","606, 2nd Main Road, KPCL Layout, Kasavanahalli Main Road, Kasavanahalli, Sarjapur Road, Bangalore","Sintales","Yes","No",3.6,44,"Sarjapur Road","600","606, 2nd Main Road, KPCL Layout, Kasavanahalli Main Road, Kasavanahalli, Sarjapur Road, BangaloreSintales"
"1810","1554, Ground Floor, 19th Main, Sector - 1, HSR, Bangalore","The Litti Company","Yes","No",3.7,33,"HSR","400","1554, Ground Floor, 19th Main, Sector - 1, HSR, BangaloreThe Litti Company"
"1811","66, 5th Cross,Near SJR Park Vista, Ambalipura, Harlur Road, Sarjapur Road, Bangalore","Myrasoiya.com","Yes","No",3.4,20,"Sarjapur Road","350","66, 5th Cross,Near SJR Park Vista, Ambalipura, Harlur Road, Sarjapur Road, BangaloreMyrasoiya.com"
"1812","2217/62/2C, Above Bank of Baroda, Doddakannalli, Sarjapura Main Road, Near, Wipro Gate, Bangalore","Vandana Andhra and Multi Cuisine","Yes","Yes",4.1,481,"Sarjapur Road","900","2217/62/2C, Above Bank of Baroda, Doddakannalli, Sarjapura Main Road, Near, Wipro Gate, BangaloreVandana Andhra and Multi Cuisine"
"1813","Plot 302, Shop 1, 2nd Cross, Kadubesanahalli, Panathur Main Road, Marathahalli, Bangalore","American Bites","Yes","No",3,4,"Marathahalli","300","Plot 302, Shop 1, 2nd Cross, Kadubesanahalli, Panathur Main Road, Marathahalli, BangaloreAmerican Bites"
"1814","6,Opposite Prestige Tech Park, Kadubeesanhalli Bus Stop, Marathahalli, Bangalore","Aashish Foods","Yes","No",3.8,34,"Marathahalli","150","6,Opposite Prestige Tech Park, Kadubeesanhalli Bus Stop, Marathahalli, BangaloreAashish Foods"
"1815","Near Ganesh Temple, Bellandur, Bangalore","Laddoos","Yes","No",2.9,163,"Bellandur","250","Near Ganesh Temple, Bellandur, BangaloreLaddoos"
"1816","2606, The Ambience, 27th Main Road, 16th cross, HSR Layout","Rusbury Fresh Sweets And Savouries","Yes","No",4,65,"HSR","200","2606, The Ambience, 27th Main Road, 16th cross, HSR LayoutRusbury Fresh Sweets And Savouries"
"1817","163, Shreyas Arcade, Green Glen Layout, Bellandur, Bangalore","Shree Khana Khazana","Yes","No",4.2,166,"Bellandur","450","163, Shreyas Arcade, Green Glen Layout, Bellandur, BangaloreShree Khana Khazana"
"1818","331, Ground Floor, 27th Main, 2nd Stage, HSR, Bangalore","Moti Mahal Delux","Yes","Yes",4,547,"HSR","1,000","331, Ground Floor, 27th Main, 2nd Stage, HSR, BangaloreMoti Mahal Delux"
"1819","18, Prakruthi Enclave, Panathur Road, Kadubeesanahalli, Marathahalli, Bangalore","Shri Vishnu Grand","Yes","No",3,139,"Marathahalli","450","18, Prakruthi Enclave, Panathur Road, Kadubeesanahalli, Marathahalli, BangaloreShri Vishnu Grand"
"1820","Shop 3, P.G.K Chambers, Basement, Tulasi Layout, Kasavanahalli, Matha Amrutha College Road, Sarjapur Road, Bangalore","Andhra Paris","Yes","No",3.2,5,"Sarjapur Road","250","Shop 3, P.G.K Chambers, Basement, Tulasi Layout, Kasavanahalli, Matha Amrutha College Road, Sarjapur Road, BangaloreAndhra Paris"
"1821","Ground Floor, Ganapa Tower, Outer Ring Road, Bellandur, Bangalore","Annapurna Foods","Yes","No",3.5,11,"Bellandur","400","Ground Floor, Ganapa Tower, Outer Ring Road, Bellandur, BangaloreAnnapurna Foods"
"1822","Shop 217, 2nd Main Road Kadubeesanahalli Croma Back Side Road Near Kumbeshwara Temple Marathahalli, Bangalore","Spicy Punjabi Pharatha","Yes","No",2.9,76,"Marathahalli","400","Shop 217, 2nd Main Road Kadubeesanahalli Croma Back Side Road Near Kumbeshwara Temple Marathahalli, BangaloreSpicy Punjabi Pharatha"
"1823","1548, 3rd Floor,19th Main Road, Sector 1, Agara Village, HSR, Bangalore","Kitchen On Table","Yes","No",4.3,787,"HSR","1,000","1548, 3rd Floor,19th Main Road, Sector 1, Agara Village, HSR, BangaloreKitchen On Table"
"1824","Shop 339, 27th Main Road, HSR Layout Sector 2, Bangalore","Charcoal Eats","Yes","No",4,55,"HSR","500","Shop 339, 27th Main Road, HSR Layout Sector 2, BangaloreCharcoal Eats"
"1825","2610, 27th Main, Near NIFT, HSR Layout, HSR, Bangalore","Only Parathas","No","No",3.3,6,"HSR","","2610, 27th Main, Near NIFT, HSR Layout, HSR, BangaloreOnly Parathas"
"1826","18/1C, Near Trinity Meadows, Bellandur Main Road, Bellandur, Bangalore","Zayakedar","Yes","No",4,250,"Bellandur","250","18/1C, Near Trinity Meadows, Bellandur Main Road, Bellandur, BangaloreZayakedar"
"1827","Near ICICI Bank Atm, Green Glen Layout, Bellandur, Bangalore","S S Popular Frozen Stone","Yes","No",3.7,24,"Bellandur","250","Near ICICI Bank Atm, Green Glen Layout, Bellandur, BangaloreS S Popular Frozen Stone"
"1828","Near kaka singh dhaba, RMZ eco world backgate","Park N Eat","Yes","No",3.7,16,"Marathahalli","300","Near kaka singh dhaba, RMZ eco world backgatePark N Eat"
"1829","9/1A, Ground Floor, Sidda Reddy Elite, Kasavanahalli Main Road, Sarjapur Road, Bangalore","Amrutha Grand Restaurant","Yes","No",3.2,204,"Sarjapur Road","500","9/1A, Ground Floor, Sidda Reddy Elite, Kasavanahalli Main Road, Sarjapur Road, BangaloreAmrutha Grand Restaurant"
"1830","779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore","YumYumSouth","Yes","No",3.6,55,"Sarjapur Road","600","779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, BangaloreYumYumSouth"
"1831","1558, 19th Main, Ring Road, Near Indian Oil Petrol Bunk, Sector 1, HSR, Bangalore","Nanda's","Yes","No",2.9,361,"HSR","450","1558, 19th Main, Ring Road, Near Indian Oil Petrol Bunk, Sector 1, HSR, BangaloreNanda's"
"1832","Salarpuria Sattva Eminence 88, Marathahalli - Sarjapur Outer Ring Road, Bellandur, Bangalore","Ramji Chaiwale","Yes","No",3.3,30,"Bellandur","250","Salarpuria Sattva Eminence 88, Marathahalli - Sarjapur Outer Ring Road, Bellandur, BangaloreRamji Chaiwale"
"1833","41, Kadubeesanahalli, Marathahalli, Bangalore","Bombay Kulfi","Yes","No",3.8,38,"Marathahalli","150","41, Kadubeesanahalli, Marathahalli, BangaloreBombay Kulfi"
